FileType,OuDiaSecond.JikokuhyouCsv.2
時刻表
上り

列車番号,,1002,102,1004,104,1006,106,1008,3002,108,1010,2002,4002,3004,110,1012,2004,7002,3006,112,1014,2006,7004,3008,114,1016,2008,7006,3010,116,1018,2010,7008,3012,118,1020,2012,7010,3014,120,1022,2014,7012,3016,122,1024,2016,7014,3018,124,1026,2018,7016,3020,126,1028,2020,3022,128,1030,2022,3024,130,1032,2024,3026,132,1034,2026,3028,134,1036,2028,3030,136,1038,2030,3032,138,1040,2032,3034,140,1042,2034,3036,142,1044,2036,3038,144,1046,2038,3040,146,1048,2040,3042,148,1050,2042,3044,150,1052,2044,3046,152,1054,2046,3048,154,1056,2048,3050,156,1058,2050,3052,158,1060,2052,3054,160,1062,2054,3056,162,1064,2056,3058,164,1066,2058,3060,166,1068,2060,3062,168,1070,2062,3064,170,1072,2064,3066,172,1074,2066,3068,174,1076,2068,3070,176,1078,2070,3072,178,1080,2072,3074,180,1082,2074,3076,182,1084,2076,3078,184,1086,2078,3080,186,1088,2080,3082,188,1090,2082,3084,190,1092,2084,3086,192,1094,2086,7018,3088,194,1096,2088,7020,3090,196,1098,2090,7022,3092,198,1100,2092,7024,3094,200,1102,2094,7026,3096,202,1104,2096,7028,3098,204,1106,2098,7030,3100,206,1108,2100,7032,3102,208,1110,2102,3104,210,1112,2104,3106,212,1114,2106,3108,214,1116,2108,3110,216,1118,2110,3112,218,1120,2112,3114,220,1122,2114,3116,222,1124,2116,3118,224,1126,2118,3120,226,1128,2120,3122,228,1130,2122,3124,230,1132,9060,9040,232,1134,9062,9042,234,1136,9064,9044,236,1138,238,1140,240,1142,242,1144,244,1146,246,1148,9058,9046,9048,9050,9052,9054,9056,1150,248,1152,5002,5004,5006,5008,5010,5012,5014,5016,5018,5020,5022,5024,5026,5028,5030,5032,5034,5036,5038,5040,5042,5044,5046,5048,5050,5052,5054,5056,5058,5060,5062,5064,5066,5068,5070,5072,5074,5076,5078,5080,5082,5084,5086,5088,5090,5092,5094,5096,5098,5100,5102,5104,5106,5108,5110,5112,5114,5118,5120,5122,5124,5126,5128,5130,5132,5134,5136,5138,5140,5142,5144,5146,5148,5150,5152,5154,5156,5158,5160,5162,5164,5166,5168,5170,5172,5174,5176,5178,9002,9004,9006,9008,9010,9012,9014,9016,9018,9020,9022,9024,9026,9028,9030,9032,9034,9036,9038,9066,9068,9070
終着駅作業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,入区,入区,,,入区,入区,,,入区,入区,,,,,,,,,,,,,入区,入区,入区,入区,入区,入区,入区,,,,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,列車情報変更,,,,,,,,,,,,,,入区,入区,入区,入区,入区,入区,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223300,223855,,,224800,225355,,,230300,230855,,,,,,,,,,,,, 04725, 02920, 03220, 03520, 03820, 04200, 04500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 01000, 01300, 01500, 01800, 02100, 02400,,,
全京車輛基地,番線,,,,,,,,,,,,上行線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,駐車線,駐車線,駐車線,駐車線,駐車線,駐車線,駐車線,駐車線,駐車線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,反駐線,反駐線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,反駐線,駐車線,駐車線,駐車線,駐車線,,,,,,,,,,,,,,,,,,,,,,
全京車輛基地,発,,,,,,,,,,,, 61530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 60455, 61955, 63355, 63820, 64855, 65320, 70355, 70820, 71855, 72320, 73355, 73820, 74855, 75320, 80355, 80820, 81855, 82320, 83455, 84955, 90455, 91955, 93455, 94955,100455,101955,103455,104955,110455,111955,113455,114955,120455,121955,123455,124955,130455,131955,133455,134955,140455,141955,143455,144955,150455,151955,153455,154955,160455,161955,163455,164855,165320,170355,170820,171855,172320,173355,173820,174855,175320,180355,180820,181855,182320,183355,183820,184955,190455,191955,193455,194955,200455,201955,203455,204955,210455,211955,213455,214955,220455,221955,223455,224955,230455,231955,233455,234955,,,,,,,,,,,,,,,,,,,,,,
全京大道,着,,,,,,,,,,,, 61645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 60550, 62050, 63450, 63915, 64950, 65415, 70450, 70915, 71950, 72415, 73450, 73915, 74950, 75415, 80450, 80915, 81950, 82415, 83550, 85050, 90550, 92050, 93550, 95050,100550,102050,103550,105050,110550,112050,113550,115050,120550,122050,123550,125050,130550,132050,133550,135050,140550,142050,143550,145050,150550,152050,153550,155050,160550,162050,163550,164950,165415,170450,170915,171950,172415,173450,173915,174950,175415,180450,180915,181950,182415,183450,183915,185050,190550,192050,193550,195050,200550,202050,203550,205050,210550,212050,213550,215050,220550,222050,223550,225050,230550,232050,233550,235050,,,,,,,,,,,,,,,,,,,,,,
全京大道,番線,,,,,,,,,,2,,2,2,,2,,2,,,2,,2,,,2,,2,,,2,,2,,,2,,2,,,2,,2,,,2,,2,,,2,,2,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,2,,,2,,2,,,2,,2,,,2,,2,,,2,,2,,,2,,2,,,2,,2,,,2,,2,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,2,,2,,2,,2,,2,,,,,,,,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
全京大道,発,,,,,,,,,, 60650,,, 61745,, 62150,, 64015,,, 63550,, 65515,,, 65050,, 71015,,, 70550,, 72515,,, 72050,, 74015,,, 73550,, 75515,,, 75050,, 81015,,, 80550,, 82515,,, 82050,,,, 83650,,,, 85150,,,, 90650,,,, 92150,,,, 93650,,,, 95150,,,,100650,,,,102150,,,,103650,,,,105150,,,,110650,,,,112150,,,,113650,,,,115150,,,,120650,,,,122150,,,,123650,,,,125150,,,,130650,,,,132150,,,,133650,,,,135150,,,,140650,,,,142150,,,,143650,,,,145150,,,,150650,,,,152150,,,,153650,,,,155150,,,,160650,,,,162150,,,,163650,,165515,,,165050,,171015,,,170550,,172515,,,172050,,174015,,,173550,,175515,,,175050,,181015,,,180550,,182515,,,182050,,184015,,,183550,,,,185150,,,,190650,,,,192150,,,,193650,,,,195150,,,,200650,,,,202150,,,,203650,,,,205150,,,,210650,,,,212150,,,,213650,,,,215150,,,,220650,,222150,,223650,,225150,,230650,,232150,,,,,,,,233650,,235150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
綾路北站,番線,,,,,,3,,,3,4,,,4,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,3,4,3,4,3,4,3,4,3,4,3,,,,,,,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
綾路北站,発,,,,,, 60300,,, 61800, 60925,,, 62020, 63300, 62425,, 64250,, 64800, 63825,, 65750,, 70300, 65325,, 71250,, 71800, 70825,, 72750,, 73300, 72325,, 74250,, 74800, 73825,, 75750,, 80300, 75325,, 81250,, 81800, 80825,, 82750,, 83300, 82325,,, 84800, 83925,,, 90300, 85425,,, 91800, 90925,,, 93300, 92425,,, 94800, 93925,,,100300, 95425,,,101800,100925,,,103300,102425,,,104800,103925,,,110300,105425,,,111800,110925,,,113300,112425,,,114800,113925,,,120300,115425,,,121800,120925,,,123300,122425,,,124800,123925,,,130300,125425,,,131800,130925,,,133300,132425,,,134800,133925,,,140300,135425,,,141800,140925,,,143300,142425,,,144800,143925,,,150300,145425,,,151800,150925,,,153300,152425,,,154800,153925,,,160300,155425,,,161800,160925,,,163300,162425,,,164800,163925,,165750,,170300,165325,,171250,,171800,170825,,172750,,173300,172325,,174250,,174800,173825,,175750,,180300,175325,,181250,,181800,180825,,182750,,183300,182325,,184250,,184800,183825,,,190300,185425,,,191800,190925,,,193300,192425,,,194800,193925,,,200300,195425,,,201800,200925,,,203300,202425,,,204800,203925,,,210300,205425,,,211800,210925,,,213300,212425,,,214800,213925,,,220300,215425,,,221800,220925,223300,222425,224800,223925,230300,225425,231800,230925,233300,232425, 00500,,,,,,,233925,234800,235425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然保育中心,発,,,,,, ﾚ,,, ﾚ, 61140,,, 62235, ﾚ, 62640,, ﾚ,, ﾚ, 64040,, ﾚ,, ﾚ, 65540,, ﾚ,, ﾚ, 71040,, ﾚ,, ﾚ, 72540,, ﾚ,, ﾚ, 74040,, ﾚ,, ﾚ, 75540,, ﾚ,, ﾚ, 81040,, ﾚ,, ﾚ, 82540,,, ﾚ, 84140,,, ﾚ, 85640,,, ﾚ, 91140,,, ﾚ, 92640,,, ﾚ, 94140,,, ﾚ, 95640,,, ﾚ,101140,,, ﾚ,102640,,, ﾚ,104140,,, ﾚ,105640,,, ﾚ,111140,,, ﾚ,112640,,, ﾚ,114140,,, ﾚ,115640,,, ﾚ,121140,,, ﾚ,122640,,, ﾚ,124140,,, ﾚ,125640,,, ﾚ,131140,,, ﾚ,132640,,, ﾚ,134140,,, ﾚ,135640,,, ﾚ,141140,,, ﾚ,142640,,, ﾚ,144140,,, ﾚ,145640,,, ﾚ,151140,,, ﾚ,152640,,, ﾚ,154140,,, ﾚ,155640,,, ﾚ,161140,,, ﾚ,162640,,, ﾚ,164140,, ﾚ,, ﾚ,165540,, ﾚ,, ﾚ,171040,, ﾚ,, ﾚ,172540,, ﾚ,, ﾚ,174040,, ﾚ,, ﾚ,175540,, ﾚ,, ﾚ,181040,, ﾚ,, ﾚ,182540,, ﾚ,, ﾚ,184040,,, ﾚ,185640,,, ﾚ,191140,,, ﾚ,192640,,, ﾚ,194140,,, ﾚ,195640,,, ﾚ,201140,,, ﾚ,202640,,, ﾚ,204140,,, ﾚ,205640,,, ﾚ,211140,,, ﾚ,212640,,, ﾚ,214140,,, ﾚ,215640,,, ﾚ,221140, ﾚ,222640, ﾚ,224140, ﾚ,225640, ﾚ,231140, ﾚ,232640, ﾚ,,,,,,,234140, ﾚ,235640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
御景新村,発,,,,,, ﾚ,,, ﾚ, 61330,,, 62425, ﾚ, 62830,, ﾚ,, ﾚ, 64230,, ﾚ,, ﾚ, 65730,, ﾚ,, ﾚ, 71230,, ﾚ,, ﾚ, 72730,, ﾚ,, ﾚ, 74230,, ﾚ,, ﾚ, 75730,, ﾚ,, ﾚ, 81230,, ﾚ,, ﾚ, 82730,,, ﾚ, 84330,,, ﾚ, 85830,,, ﾚ, 91330,,, ﾚ, 92830,,, ﾚ, 94330,,, ﾚ, 95830,,, ﾚ,101330,,, ﾚ,102830,,, ﾚ,104330,,, ﾚ,105830,,, ﾚ,111330,,, ﾚ,112830,,, ﾚ,114330,,, ﾚ,115830,,, ﾚ,121330,,, ﾚ,122830,,, ﾚ,124330,,, ﾚ,125830,,, ﾚ,131330,,, ﾚ,132830,,, ﾚ,134330,,, ﾚ,135830,,, ﾚ,141330,,, ﾚ,142830,,, ﾚ,144330,,, ﾚ,145830,,, ﾚ,151330,,, ﾚ,152830,,, ﾚ,154330,,, ﾚ,155830,,, ﾚ,161330,,, ﾚ,162830,,, ﾚ,164330,, ﾚ,, ﾚ,165730,, ﾚ,, ﾚ,171230,, ﾚ,, ﾚ,172730,, ﾚ,, ﾚ,174230,, ﾚ,, ﾚ,175730,, ﾚ,, ﾚ,181230,, ﾚ,, ﾚ,182730,, ﾚ,, ﾚ,184230,,, ﾚ,185830,,, ﾚ,191330,,, ﾚ,192830,,, ﾚ,194330,,, ﾚ,195830,,, ﾚ,201330,,, ﾚ,202830,,, ﾚ,204330,,, ﾚ,205830,,, ﾚ,211330,,, ﾚ,212830,,, ﾚ,214330,,, ﾚ,215830,,, ﾚ,221330, ﾚ,222830, ﾚ,224330, ﾚ,225830, ﾚ,231330, ﾚ,232830, ﾚ,,,,,,,234330, ﾚ,235830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
紫荊苑,着,,,,,, ﾚ,,, ﾚ, 61855,,, 62950, ﾚ, 63355,, ﾚ,, ﾚ, 64755,, ﾚ,, ﾚ, 70255,, ﾚ,, ﾚ, 71755,, ﾚ,, ﾚ, 73255,, ﾚ,, ﾚ, 74755,, ﾚ,, ﾚ, 80255,, ﾚ,, ﾚ, 81755,, ﾚ,, ﾚ, 83255,,, ﾚ, 84855,,, ﾚ, 90355,,, ﾚ, 91855,,, ﾚ, 93355,,, ﾚ, 94855,,, ﾚ,100355,,, ﾚ,101855,,, ﾚ,103355,,, ﾚ,104855,,, ﾚ,110355,,, ﾚ,111855,,, ﾚ,113355,,, ﾚ,114855,,, ﾚ,120355,,, ﾚ,121855,,, ﾚ,123355,,, ﾚ,124855,,, ﾚ,130355,,, ﾚ,131855,,, ﾚ,133355,,, ﾚ,134855,,, ﾚ,140355,,, ﾚ,141855,,, ﾚ,143355,,, ﾚ,144855,,, ﾚ,150355,,, ﾚ,151855,,, ﾚ,153355,,, ﾚ,154855,,, ﾚ,160355,,, ﾚ,161855,,, ﾚ,163355,,, ﾚ,164855,, ﾚ,, ﾚ,170255,, ﾚ,, ﾚ,171755,, ﾚ,, ﾚ,173255,, ﾚ,, ﾚ,174755,, ﾚ,, ﾚ,180255,, ﾚ,, ﾚ,181755,, ﾚ,, ﾚ,183255,, ﾚ,, ﾚ,184755,,, ﾚ,190355,,, ﾚ,191855,,, ﾚ,193355,,, ﾚ,194855,,, ﾚ,200355,,, ﾚ,201855,,, ﾚ,203355,,, ﾚ,204855,,, ﾚ,210355,,, ﾚ,211855,,, ﾚ,213355,,, ﾚ,214855,,, ﾚ,220355,,, ﾚ,221855, ﾚ,223355, ﾚ,224855, ﾚ,230355, ﾚ,231855, ﾚ,233355, ﾚ,,,,,,,234855, ﾚ, 00355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
紫荊苑,番線,,,,,,上通線,2,,上通線,2,,,2,上通線,2,,上通線,,上通線,2,,上通線,,上通線,2,,上通線,,上通線,2,,上通線,,上通線,2,,上通線,,上通線,2,,上通線,,上通線,2,,上通線,,上通線,2,,上通線,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,上通線,,上通線,2,,上通線,,上通線,2,,上通線,,上通線,2,,上通線,,上通線,2,,上通線,,上通線,2,,上通線,,上通線,2,,上通線,,上通線,2,,上通線,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,,,上通線,2,上通線,2,上通線,2,上通線,2,上通線,2,上通線,2,上通線,,,,,1,2,2,上通線,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
紫荊苑,発,,,,,, 60920?, 60425,, 62420?, 61925,,, 63020, 63920?, 63425,, 64840?,, 65420?, 64925,, 70340?,, 70920?, 70425,, 71840?,, 72420?, 71925,, 73340?,, 73920?, 73425,, 74840?,, 75420?, 74925,, 80340?,, 80920?, 80425,, 81840?,, 82420?, 81925,, 83340?,, 83920?, 83425,,, 85420?, 84925,,, 90920?, 90425,,, 92420?, 91925,,, 93920?, 93425,,, 95420?, 94925,,,100920?,100425,,,102420?,101925,,,103920?,103425,,,105420?,104925,,,110920?,110425,,,112420?,111925,,,113920?,113425,,,115420?,114925,,,120920?,120425,,,122420?,121925,,,123920?,123425,,,125420?,124925,,,130920?,130425,,,132420?,131925,,,133920?,133425,,,135420?,134925,,,140920?,140425,,,142420?,141925,,,143920?,143425,,,145420?,144925,,,150920?,150425,,,152420?,151925,,,153920?,153425,,,155420?,154925,,,160920?,160425,,,162420?,161925,,,163920?,163425,,,165420?,164925,,170340?,,170920?,170425,,171840?,,172420?,171925,,173340?,,173920?,173425,,174840?,,175420?,174925,,180340?,,180920?,180425,,181840?,,182420?,181925,,183340?,,183920?,183425,,184840?,,185420?,184925,,,190920?,190425,,,192420?,191925,,,193920?,193425,,,195420?,194925,,,200920?,200425,,,202420?,201925,,,203920?,203425,,,205420?,204925,,,210920?,210425,,,212420?,211925,,,213920?,213425,,,215420?,214925,,,220920?,220425,,,222420?,221925,223920?,223425,225420?,224925,230920?,230425,232420?,231925,233920?,233425, ﾚ,,,,, 00700, 01000,234925,235420?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
翡翠花園,発,,,,,, ﾚ, 60725,, ﾚ, 62225,,, 63320, ﾚ, 63725,, ﾚ,, ﾚ, 65225,, ﾚ,, ﾚ, 70725,, ﾚ,, ﾚ, 72225,, ﾚ,, ﾚ, 73725,, ﾚ,, ﾚ, 75225,, ﾚ,, ﾚ, 80725,, ﾚ,, ﾚ, 82225,, ﾚ,, ﾚ, 83725,,, ﾚ, 85225,,, ﾚ, 90725,,, ﾚ, 92225,,, ﾚ, 93725,,, ﾚ, 95225,,, ﾚ,100725,,, ﾚ,102225,,, ﾚ,103725,,, ﾚ,105225,,, ﾚ,110725,,, ﾚ,112225,,, ﾚ,113725,,, ﾚ,115225,,, ﾚ,120725,,, ﾚ,122225,,, ﾚ,123725,,, ﾚ,125225,,, ﾚ,130725,,, ﾚ,132225,,, ﾚ,133725,,, ﾚ,135225,,, ﾚ,140725,,, ﾚ,142225,,, ﾚ,143725,,, ﾚ,145225,,, ﾚ,150725,,, ﾚ,152225,,, ﾚ,153725,,, ﾚ,155225,,, ﾚ,160725,,, ﾚ,162225,,, ﾚ,163725,,, ﾚ,165225,, ﾚ,, ﾚ,170725,, ﾚ,, ﾚ,172225,, ﾚ,, ﾚ,173725,, ﾚ,, ﾚ,175225,, ﾚ,, ﾚ,180725,, ﾚ,, ﾚ,182225,, ﾚ,, ﾚ,183725,, ﾚ,, ﾚ,185225,,, ﾚ,190725,,, ﾚ,192225,,, ﾚ,193725,,, ﾚ,195225,,, ﾚ,200725,,, ﾚ,202225,,, ﾚ,203725,,, ﾚ,205225,,, ﾚ,210725,,, ﾚ,212225,,, ﾚ,213725,,, ﾚ,215225,,, ﾚ,220725,,, ﾚ,222225, ﾚ,223725, ﾚ,225225, ﾚ,230725, ﾚ,232225, ﾚ,233725, ﾚ,,,,, ﾚ, ﾚ,235225, ﾚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飛灣機場,着,,,,,, 61350, 61305,, 62850, 62805,,, 63900, 64350, 64305,, 65310,, 65850, 65805,, 70810,, 71350, 71305,, 72310,, 72850, 72805,, 73810,, 74350, 74305,, 75310,, 75850, 75805,, 80810,, 81350, 81305,, 82310,, 82850, 82805,, 83810,, 84350, 84305,,, 85850, 85805,,, 91350, 91305,,, 92850, 92805,,, 94350, 94305,,, 95850, 95805,,,101350,101305,,,102850,102805,,,104350,104305,,,105850,105805,,,111350,111305,,,112850,112805,,,114350,114305,,,115850,115805,,,121350,121305,,,122850,122805,,,124350,124305,,,125850,125805,,,131350,131305,,,132850,132805,,,134350,134305,,,135850,135805,,,141350,141305,,,142850,142805,,,144350,144305,,,145850,145805,,,151350,151305,,,152850,152805,,,154350,154305,,,155850,155805,,,161350,161305,,,162850,162805,,,164350,164305,,,165850,165805,,170810,,171350,171305,,172310,,172850,172805,,173810,,174350,174305,,175310,,175850,175805,,180810,,181350,181305,,182310,,182850,182805,,183810,,184350,184305,,185310,,185850,185805,,,191350,191305,,,192850,192805,,,194350,194305,,,195850,195805,,,201350,201305,,,202850,202805,,,204350,204305,,,205850,205805,,,211350,211305,,,212850,212805,,,214350,214305,,,215850,215805,,,221350,221305,,,222850,222805,224350,224305,225850,225805,231350,231305,232850,232805,234350,234305, ﾚ,,,,, ﾚ, ﾚ,235805,235850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
