FileType,OuDiaSecond.JikokuhyouCsv.2
時刻表
下り

列車番号,,105,1009,107,1011,109,2001,7001,1013,3001,111,2003,7003,1015,3003,113,2005,7005,1017,3005,115,2007,7007,1019,3007,117,2009,7009,1021,3009,119,2011,7011,1023,3011,121,2013,7013,1025,3013,123,2015,7015,1027,3015,125,2017,1029,9001,3017,127,2019,1031,9003,3019,129,2021,1033,9005,3021,131,2023,1035,9007,3023,133,2025,1037,3025,135,2027,1039,3027,137,2029,1041,3029,139,2031,1043,3031,141,2033,1045,3033,143,2035,1047,3035,145,2037,1049,3037,147,2039,1051,3039,149,2041,1053,3041,151,2043,1055,3043,153,2045,1057,3045,155,2047,1059,3047,157,2049,1061,3049,159,2051,1063,3051,161,2053,1065,3053,163,2055,1067,3055,165,2057,1069,3057,167,2059,1071,3059,169,2061,1073,3061,171,2063,1075,3063,173,2065,1077,3065,175,2067,1079,3067,177,2069,1081,3069,179,2071,1083,3071,181,2073,1085,3073,183,2075,1087,3075,185,2077,1089,3077,187,2079,1091,3079,189,2081,1093,3081,191,2083,1095,3083,193,2085,7017,1097,3085,195,2087,7019,1099,3087,197,2089,7021,1101,3089,199,2091,7023,1103,3091,201,2093,7025,1105,3093,203,2095,7027,1107,3095,205,2097,7029,1109,3097,207,2099,7031,1111,3099,209,2101,9045,1113,3101,211,2103,1115,9047,3103,213,2105,9049,1117,3105,215,2107,1119,3107,217,2109,1121,3109,219,2111,1123,3111,221,2113,1125,3113,223,2115,1127,3115,225,2117,1129,3117,227,2119,1131,3119,229,2121,1133,3121,231,2123,1135,3123,233,9051,9053,1137,235,9055,1139,1141,237,9059,1143,239,1145,241,1147,243,1149,245,1151,247,9061,1153,9063,9065,1001,1003,1005,1007,101,103,9043,4001,9037,9035,9033,9031,9039,9041,5001,5003,5005,5007,5009,5011,5013,5015,5017,5019,5021,5023,5025,5027,5029,5031,5033,5035,5037,5039,5041,5043,5045,5047,5049,5051,5053,5055,5057,5059,5061,5063,5065,5067,5069,5071,5073,5075,5077,5079,5081,5083,5085,5087,5089,5091,5093,5095,5097,5099,5101,5103,5105,5107,5109,5111,5113,5115,5117,5119,5121,5123,5125,5127,5129,5131,5133,5135,5137,5139,5141,5143,5145,5147,5149,5151,5153,5155,5157,5159,5161,5163,5165,5167,5169,5171,5173,5175,9009,9011,9013,9015,9017,9019,9021,9023,9025,9027
終着駅作業,,,列車情報変更,,列車情報変更,,,列車情報変更,列車情報変更,,,,列車情報変更,列車情報変更,,,,列車情報変更,列車情報変更,,,,列車情報変更,列車情報変更,,,,列車情報変更,列車情報変更,,,,列車情報変更,列車情報変更,,,,列車情報変更,列車情報変更,,,,列車情報変更,列車情報変更,,,,列車情報変更,入区,,,,列車情報変更,入区,,,,列車情報変更,入区,,,,列車情報変更,入区,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,列車情報変更,,,,列車情報変更,列車情報変更,,,,列車情報変更,列車情報変更,,,,列車情報変更,列車情報変更,,,,列車情報変更,列車情報変更,,,,列車情報変更,列車情報変更,,,,列車情報変更,列車情報変更,,,,列車情報変更,列車情報変更,,,,入区,列車情報変更,,,,列車情報変更,入区,,,,入区,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,,列車情報変更,,,入区,入区,列車情報変更,,入区,列車情報変更,列車情報変更,,入区,列車情報変更,,列車情報変更,,,,,,,,入区,,入区,入区,列車情報変更,列車情報変更,列車情報変更,列車情報変更,,,,入区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,入区,,,入区,,,,,,,,,,,,,入区,,,,入区,,,入区,入区,入区,,,,,,,,入区,,入区,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 84115,,,,, 85615,,,,, 91115,,,,, 92615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190645,,,,,,192645,,,,193645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220415,220715,,,222015,,,,223615,,,,,,,,,,,235115,, 00415, 00715,,,,,,,,233950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190100,,,194600,,,,,,,,,,,,,230100,,,, 00100,,, 83740, 85240, 90740,,,,,,,,190740,,193740,,,,,,,,,,,
飛灣工業區,番線,2,3,2,3,2,4,3,4,3,2,4,3,4,3,2,4,3,1,4,2,4,3,4,1,2,4,3,4,4,2,4,3,4,4,2,4,3,4,4,2,4,3,4,4,2,3,4,3,4,2,4,4,3,4,2,3,3,4,3,2,4,4,3,4,2,3,4,3,2,4,3,4,2,3,4,3,2,4,3,4,2,3,4,3,2,4,3,4,2,3,4,3,2,4,3,4,2,3,4,3,2,4,3,4,2,3,4,3,2,4,3,4,2,3,4,3,2,4,3,4,2,3,4,3,2,4,3,4,2,3,4,3,2,4,3,4,2,3,4,3,2,4,3,4,2,3,4,3,2,4,3,4,2,3,4,3,2,4,3,4,2,3,4,3,2,4,3,4,2,3,4,3,2,4,3,4,2,3,4,3,2,4,3,4,2,4,3,4,1,2,4,3,4,1,2,4,3,4,3,2,4,3,4,4,2,4,3,4,3,2,4,3,4,3,2,4,3,4,3,2,4,3,4,3,2,4,3,4,3,2,4,3,4,3,2,4,3,4,3,2,4,3,4,2,3,4,3,2,4,3,4,2,3,4,3,2,4,3,4,2,3,4,3,2,4,3,4,2,3,4,3,2,4,3,4,2,3,4,3,2,4,3,4,2,4,3,2,3,2,3,2,3,2,3,2,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飛灣工業區,発, 55955, 60705, 61455, 62205, 62955, 63220, 63420, 63705, 64155, 64455, 64720, 64920, 65205, 65655, 65955, 70220, 70420, 70705, 71200, 71455, 71720, 71920, 72205, 72700, 72955, 73220, 73420, 73705, 74200, 74455, 74720, 74920, 75205, 75700, 75955, 80220, 80420, 80705, 81200, 81455, 81720, 81920, 82205, 82700, 82955, 83220, 83705, 83900, 84200, 84455, 84720, 85205, 85400, 85700, 85955, 90220, 90705, 90900, 91200, 91455, 91720, 92205, 92400, 92700, 92955, 93220, 93705, 94200, 94455, 94720, 95205, 95700, 95955,100220,100705,101200,101455,101720,102205,102700,102955,103220,103705,104200,104455,104720,105205,105700,105955,110220,110705,111200,111455,111720,112205,112700,112955,113220,113705,114200,114455,114720,115205,115700,115955,120220,120705,121200,121455,121720,122205,122700,122955,123220,123705,124200,124455,124720,125205,125700,125955,130220,130705,131200,131455,131720,132205,132700,132955,133220,133705,134200,134455,134720,135205,135700,135955,140220,140705,141200,141455,141720,142205,142700,142955,143220,143705,144200,144455,144720,145205,145700,145955,150220,150705,151200,151455,151720,152205,152700,152955,153220,153705,154200,154455,154720,155205,155700,155955,160220,160705,161200,161455,161720,162205,162700,162955,163220,163705,164200,164455,164720,165205,165700,165955,170220,170420,170705,171200,171455,171720,171920,172205,172700,172955,173220,173420,173705,174200,174455,174720,174920,175205,175700,175955,180220,180420,180705,181200,181455,181720,181920,182205,182700,182955,183220,183420,183705,184200,184455,184720,184920,185205,185700,185955,190220,190430,190705,191200,191455,191720,192205,192430,192700,192955,193220,193430,193705,194200,194455,194720,195205,195700,195955,200220,200705,201200,201455,201720,202205,202700,202955,203220,203705,204200,204455,204720,205205,205700,205955,210220,210705,211200,211455,211720,212205,212700,212955,213220,213705,214200,214455,214720,215205,215700,215955,220200,220500,220705,221455,221800,222205,222655,222955,223400,223705,224455,225205,225955,230705,231455,232205,232955,233705,234455,234900,235120, 00200, 00500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飛灣車輛基地,着, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, 84015, ﾚ, ﾚ, ﾚ, ﾚ, 85515, ﾚ, ﾚ, ﾚ, ﾚ, 91015, ﾚ, ﾚ, ﾚ, ﾚ, 92515, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,190545, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,192545, ﾚ, ﾚ, ﾚ,193545, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,220315,220615, ﾚ, ﾚ,221915, ﾚ, ﾚ, ﾚ,223515, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,235015, ﾚ, 00315, 00615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飛灣車輛基地,番線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下行線,下通線,下通線,下通線,下通線,下行線,下通線,下通線,下通線,下通線,下行線,下通線,下通線,下通線,下通線,下行線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下行線,下通線,下通線,下通線,下通線,下通線,下行線,下通線,下通線,下通線,下行線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下行線,下行線,下通線,下通線,下行線,下通線,下通線,下通線,下行線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下行線,下通線,下行線,下行線,,,,,,,反,,反,反,反,反,反,反,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,反,反,反,反,反,反,反,反,反,反
飛灣車輛基地,発, 60055?, 60805?, 61555?, 62305?, 63055?, 63320?, 63520?, 63805?, 64255?, 64555?, 64820?, 65020?, 65305?, 65755?, 70055?, 70320?, 70520?, 70805?, 71300?, 71555?, 71820?, 72020?, 72305?, 72800?, 73055?, 73320?, 73520?, 73805?, 74300?, 74555?, 74820?, 75020?, 75305?, 75800?, 80055?, 80320?, 80520?, 80805?, 81300?, 81555?, 81820?, 82020?, 82305?, 82800?, 83055?, 83320?, 83805?,, 84300?, 84555?, 84820?, 85305?,, 85800?, 90055?, 90320?, 90805?,, 91300?, 91555?, 91820?, 92305?,, 92800?, 93055?, 93320?, 93805?, 94300?, 94555?, 94820?, 95305?, 95800?,100055?,100320?,100805?,101300?,101555?,101820?,102305?,102800?,103055?,103320?,103805?,104300?,104555?,104820?,105305?,105800?,110055?,110320?,110805?,111300?,111555?,111820?,112305?,112800?,113055?,113320?,113805?,114300?,114555?,114820?,115305?,115800?,120055?,120320?,120805?,121300?,121555?,121820?,122305?,122800?,123055?,123320?,123805?,124300?,124555?,124820?,125305?,125800?,130055?,130320?,130805?,131300?,131555?,131820?,132305?,132800?,133055?,133320?,133805?,134300?,134555?,134820?,135305?,135800?,140055?,140320?,140805?,141300?,141555?,141820?,142305?,142800?,143055?,143320?,143805?,144300?,144555?,144820?,145305?,145800?,150055?,150320?,150805?,151300?,151555?,151820?,152305?,152800?,153055?,153320?,153805?,154300?,154555?,154820?,155305?,155800?,160055?,160320?,160805?,161300?,161555?,161820?,162305?,162800?,163055?,163320?,163805?,164300?,164555?,164820?,165305?,165800?,170055?,170320?,170520?,170805?,171300?,171555?,171820?,172020?,172305?,172800?,173055?,173320?,173520?,173805?,174300?,174555?,174820?,175020?,175305?,175800?,180055?,180320?,180520?,180805?,181300?,181555?,181820?,182020?,182305?,182800?,183055?,183320?,183520?,183805?,184300?,184555?,184820?,185020?,185305?,185800?,190055?,190320?,,190805?,191300?,191555?,191820?,192305?,,192800?,193055?,193320?,,193805?,194300?,194555?,194820?,195305?,195800?,200055?,200320?,200805?,201300?,201555?,201820?,202305?,202800?,203055?,203320?,203805?,204300?,204555?,204820?,205305?,205800?,210055?,210320?,210805?,211300?,211555?,211820?,212305?,212800?,213055?,213320?,213805?,214300?,214555?,214820?,215305?,215800?,220055?,,,220805?,221555?,,222305?,222755?,223055?,,223805?,224555?,225305?,230055?,230805?,231555?,232305?,233055?,233805?,234555?,,235220?,,,,,,,,, 51000,, 51900, 52200, 52500, 52800, 51600, 51300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 55400, 53400, 53700, 54200, 54500, 53100, 55800, 60500, 62000, 62800
飛灣港,着, ﾚ, 61215, ﾚ, 62715, ﾚ, 63730, 63930, 64215, 64705, ﾚ, 65230, 65430, 65715, 70205, ﾚ, 70730, 70930, 71215, 71710, ﾚ, 72230, 72430, 72715, 73210, ﾚ, 73730, 73930, 74215, 74710, ﾚ, 75230, 75430, 75715, 80210, ﾚ, 80730, 80930, 81215, 81710, ﾚ, 82230, 82430, 82715, 83210, ﾚ, 83730, 84215,, 84710, ﾚ, 85230, 85715,, 90210, ﾚ, 90730, 91215,, 91710, ﾚ, 92230, 92715,, 93210, ﾚ, 93730, 94215, 94710, ﾚ, 95230, 95715,100210, ﾚ,100730,101215,101710, ﾚ,102230,102715,103210, ﾚ,103730,104215,104710, ﾚ,105230,105715,110210, ﾚ,110730,111215,111710, ﾚ,112230,112715,113210, ﾚ,113730,114215,114710, ﾚ,115230,115715,120210, ﾚ,120730,121215,121710, ﾚ,122230,122715,123210, ﾚ,123730,124215,124710, ﾚ,125230,125715,130210, ﾚ,130730,131215,131710, ﾚ,132230,132715,133210, ﾚ,133730,134215,134710, ﾚ,135230,135715,140210, ﾚ,140730,141215,141710, ﾚ,142230,142715,143210, ﾚ,143730,144215,144710, ﾚ,145230,145715,150210, ﾚ,150730,151215,151710, ﾚ,152230,152715,153210, ﾚ,153730,154215,154710, ﾚ,155230,155715,160210, ﾚ,160730,161215,161710, ﾚ,162230,162715,163210, ﾚ,163730,164215,164710, ﾚ,165230,165715,170210, ﾚ,170730,170930,171215,171710, ﾚ,172230,172430,172715,173210, ﾚ,173730,173930,174215,174710, ﾚ,175230,175430,175715,180210, ﾚ,180730,180930,181215,181710, ﾚ,182230,182430,182715,183210, ﾚ,183730,183930,184215,184710, ﾚ,185230,185430,185715,190210, ﾚ,190730,,191215,191710, ﾚ,192230,192715,,193210, ﾚ,193730,,194215,194710, ﾚ,195230,195715,200210, ﾚ,200730,201215,201710, ﾚ,202230,202715,203210, ﾚ,203730,204215,204710, ﾚ,205230,205715,210210, ﾚ,210730,211215,211710, ﾚ,212230,212715,213210, ﾚ,213730,214215,214710, ﾚ,215230,215715,220210, ﾚ,,,221215, ﾚ,,222715,223205, ﾚ,,224215, ﾚ,225715, ﾚ,231215, ﾚ,232715, ﾚ,234215, ﾚ,,235630,,,,,,,,, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, 60200?, ﾚ, ﾚ, 63200?
飛灣港,番線,下通線,1,下通線,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,,1,下通線,1,1,,1,下通線,1,1,,1,下通線,1,1,,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,,1,1,下通線,1,1,,1,下通線,1,,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,,,1,下通線,,1,1,下通線,,1,下通線,1,下通線,1,下通線,1,下通線,1,下通線,,1,,,,,,,,,下通線,,下通線,下通線,下通線,下通線,下通線,下通線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,下通線,下通線,下通線,下通線,下通線,下通線,1,下通線,下通線,1
飛灣港,発, 60435?, 61245, 61935?, 62745, 63435?, 63800, 64000, 64245, 64735, 64935?, 65300, 65500, 65745, 70235, 70435?, 70800, 71000, 71245, 71740, 71935?, 72300, 72500, 72745, 73240, 73435?, 73800, 74000, 74245, 74740, 74935?, 75300, 75500, 75745, 80240, 80435?, 80800, 81000, 81245, 81740, 81935?, 82300, 82500, 82745, 83240, 83435?, 83800, 84245,, 84740, 84935?, 85300, 85745,, 90240, 90435?, 90800, 91245,, 91740, 91935?, 92300, 92745,, 93240, 93435?, 93800, 94245, 94740, 94935?, 95300, 95745,100240,100435?,100800,101245,101740,101935?,102300,102745,103240,103435?,103800,104245,104740,104935?,105300,105745,110240,110435?,110800,111245,111740,111935?,112300,112745,113240,113435?,113800,114245,114740,114935?,115300,115745,120240,120435?,120800,121245,121740,121935?,122300,122745,123240,123435?,123800,124245,124740,124935?,125300,125745,130240,130435?,130800,131245,131740,131935?,132300,132745,133240,133435?,133800,134245,134740,134935?,135300,135745,140240,140435?,140800,141245,141740,141935?,142300,142745,143240,143435?,143800,144245,144740,144935?,145300,145745,150240,150435?,150800,151245,151740,151935?,152300,152745,153240,153435?,153800,154245,154740,154935?,155300,155745,160240,160435?,160800,161245,161740,161935?,162300,162745,163240,163435?,163800,164245,164740,164935?,165300,165745,170240,170435?,170800,171000,171245,171740,171935?,172300,172500,172745,173240,173435?,173800,174000,174245,174740,174935?,175300,175500,175745,180240,180435?,180800,181000,181245,181740,181935?,182300,182500,182745,183240,183435?,183800,184000,184245,184740,184935?,185300,185500,185745,190240,190435?,190800,,191245,191740,191935?,192300,192745,,193240,193435?,193800,,194245,194740,194935?,195300,195745,200240,200435?,200800,201245,201740,201935?,202300,202745,203240,203435?,203800,204245,204740,204935?,205300,205745,210240,210435?,210800,211245,211740,211935?,212300,212745,213240,213435?,213800,214245,214740,214935?,215300,215745,220240,220435?,,,221245,221935?,,222745,223235,223435?,,224245,224935?,225745,230435?,231245,231935?,232745,233435?,234245,234935?,,235700,,,,,,,,, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, 60700?, ﾚ, ﾚ, 63600?
物流中心,発, ﾚ, 61440, ﾚ, 62940, ﾚ, 63955, 64155, 64440, 64930, ﾚ, 65455, 65655, 65940, 70430, ﾚ, 70955, 71155, 71440, 71935, ﾚ, 72455, 72655, 72940, 73435, ﾚ, 73955, 74155, 74440, 74935, ﾚ, 75455, 75655, 75940, 80435, ﾚ, 80955, 81155, 81440, 81935, ﾚ, 82455, 82655, 82940, 83435, ﾚ, 83955, 84440,, 84935, ﾚ, 85455, 85940,, 90435, ﾚ, 90955, 91440,, 91935, ﾚ, 92455, 92940,, 93435, ﾚ, 93955, 94440, 94935, ﾚ, 95455, 95940,100435, ﾚ,100955,101440,101935, ﾚ,102455,102940,103435, ﾚ,103955,104440,104935, ﾚ,105455,105940,110435, ﾚ,110955,111440,111935, ﾚ,112455,112940,113435, ﾚ,113955,114440,114935, ﾚ,115455,115940,120435, ﾚ,120955,121440,121935, ﾚ,122455,122940,123435, ﾚ,123955,124440,124935, ﾚ,125455,125940,130435, ﾚ,130955,131440,131935, ﾚ,132455,132940,133435, ﾚ,133955,134440,134935, ﾚ,135455,135940,140435, ﾚ,140955,141440,141935, ﾚ,142455,142940,143435, ﾚ,143955,144440,144935, ﾚ,145455,145940,150435, ﾚ,150955,151440,151935, ﾚ,152455,152940,153435, ﾚ,153955,154440,154935, ﾚ,155455,155940,160435, ﾚ,160955,161440,161935, ﾚ,162455,162940,163435, ﾚ,163955,164440,164935, ﾚ,165455,165940,170435, ﾚ,170955,171155,171440,171935, ﾚ,172455,172655,172940,173435, ﾚ,173955,174155,174440,174935, ﾚ,175455,175655,175940,180435, ﾚ,180955,181155,181440,181935, ﾚ,182455,182655,182940,183435, ﾚ,183955,184155,184440,184935, ﾚ,185455,185655,185940,190435, ﾚ,190955,,191440,191935, ﾚ,192455,192940,,193435, ﾚ,193955,,194440,194935, ﾚ,195455,195940,200435, ﾚ,200955,201440,201935, ﾚ,202455,202940,203435, ﾚ,203955,204440,204935, ﾚ,205455,205940,210435, ﾚ,210955,211440,211935, ﾚ,212455,212940,213435, ﾚ,213955,214440,214935, ﾚ,215455,215940,220435, ﾚ,,,221440, ﾚ,,222940,223430, ﾚ,,224440, ﾚ,225940, ﾚ,231440, ﾚ,232940, ﾚ,234440, ﾚ,,235855,,,,,,,,, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ
